grad_step,syncs,since_sync,flip_vs_prev,flip_vs_ref,recent100
11100,11,100,0.037109375,0.060546875,54.73170731707317
11200,11,200,0.076171875,0.12890625,54.73170731707317
11300,11,300,0.078125,0.0625,54.73170731707317
11400,11,400,0.009765625,0.064453125,54.73170731707317
11500,11,500,0.01171875,0.060546875,54.73170731707317
11600,11,600,0.017578125,0.06640625,54.73170731707317
11700,11,700,0.03515625,0.05859375,56.595238095238095
11800,11,800,0.029296875,0.060546875,55.674418604651166
11900,11,900,0.017578125,0.06640625,55.674418604651166
12000,12,0,0.013671875,0.060546875,55.674418604651166
12100,12,100,0.001953125,0.05859375,55.674418604651166
12200,12,200,0.037109375,0.072265625,55.674418604651166
12300,12,300,0.03515625,0.064453125,55.674418604651166
12400,12,400,0.005859375,0.06640625,55.674418604651166
12500,12,500,0.013671875,0.068359375,55.674418604651166
12600,12,600,0.01171875,0.072265625,55.674418604651166
12700,12,700,0.025390625,0.06640625,57.0
12800,12,800,0.015625,0.0625,55.93333333333333
12900,12,900,0.0078125,0.0625,55.93333333333333
13000,13,0,0.013671875,0.072265625,55.08695652173913
13100,13,100,0.009765625,0.07421875,55.08695652173913
13200,13,200,0.03125,0.06640625,55.08695652173913
13300,13,300,0.01171875,0.0703125,55.08695652173913
13400,13,400,0.015625,0.07421875,55.08695652173913
13500,13,500,0.01953125,0.0703125,55.08695652173913
13600,13,600,0.015625,0.06640625,55.08695652173913
13700,13,700,0.009765625,0.072265625,55.08695652173913
13800,13,800,0.01171875,0.068359375,55.08695652173913
13900,13,900,0.013671875,0.07421875,55.08695652173913
14000,14,0,0.0078125,0.07421875,55.08695652173913
14100,14,100,0.013671875,0.064453125,55.08695652173913
14200,14,200,0.0078125,0.064453125,55.08695652173913
14300,14,300,0.013671875,0.0703125,55.08695652173913
14400,14,400,0.0078125,0.0703125,55.08695652173913
14500,14,500,0.017578125,0.068359375,55.08695652173913
14600,14,600,0.037109375,0.08203125,55.08695652173913
14700,14,700,0.037109375,0.072265625,55.08695652173913
14800,14,800,0.0078125,0.068359375,58.8936170212766
14900,14,900,0.0234375,0.072265625,58.8936170212766
15000,15,0,0.02734375,0.064453125,58.229166666666664
15100,15,100,0.017578125,0.0703125,58.229166666666664
